,time,rssi,label
800,1578566239849,-56,near
801,1578566239958,-56,near
802,1578566240056,-56,near
803,1578566240156,-56,near
804,1578566240267,-56,near
805,1578566240371,-56,near
806,1578566240475,-53,near
807,1578566240584,-53,near
808,1578566240690,-53,near
809,1578566240793,-53,near
810,1578566240903,-53,near
811,1578566241006,-53,near
812,1578566241109,-53,near
813,1578566241419,-54,near
814,1578566241507,-55,near
815,1578566241611,-53,near
816,1578566241712,-51,leave
817,1578566241816,-53,leave
818,1578566241923,-57,leave
819,1578566242029,-56,leave
820,1578566242136,-56,leave
821,1578566242248,-57,leave
822,1578566242343,-74,leave
823,1578566242450,-63,leave
824,1578566242555,-68,leave
825,1578566242662,-74,leave
826,1578566242763,-69,leave
827,1578566242867,-81,leave
828,1578566242974,-67,leave
829,1578566243079,-68,leave
830,1578566243184,-77,leave
831,1578566243289,-71,leave
832,1578566243386,-67,leave
833,1578566243490,-75,leave
834,1578566243595,-80,leave
835,1578566243699,-83,leave
836,1578566243811,-80,leave
837,1578566243909,-81,leave
838,1578566244020,-81,leave
839,1578566244121,-74,leave
840,1578566244225,-74,leave
841,1578566244334,-67,leave
842,1578566244440,-68,leave
843,1578566244677,-79,leave
844,1578566244767,-75,leave
845,1578566244997,-69,leave
846,1578566245084,-80,leave
847,1578566245193,-80,leave
848,1578566245292,-78,leave
849,1578566245394,-82,leave
850,1578566245503,-72,leave
851,1578566245614,-80,leave
852,1578566245713,-85,leave
853,1578566245948,-76,leave
854,1578566246040,-76,leave
855,1578566246141,-78,leave
856,1578566246243,-81,leave
857,1578566246347,-85,leave
858,1578566246456,-80,leave
859,1578566246558,-92,leave
860,1578566246669,-77,leave
861,1578566246769,-80,leave
862,1578566246877,-83,leave
863,1578566246980,-81,leave
864,1578566247087,-85,leave
865,1578566247187,-83,leave
866,1578566247292,-82,leave
867,1578566247396,-95,leave
868,1578566247501,-87,leave
869,1578566247607,-76,leave
870,1578566247716,-87,leave
871,1578566247827,-90,leave
872,1578566247927,-85,leave
873,1578566248031,-100,leave
874,1578566248136,-82,leave
875,1578566248238,-85,leave
876,1578566248343,-93,leave
877,1578566248451,-86,leave
878,1578566248557,-92,leave
879,1578566248661,-87,leave
880,1578566248762,-90,leave
881,1578566248872,-84,leave
882,1578566248976,-91,leave
883,1578566249087,-81,leave
884,1578566249313,-87,leave
885,1578566249394,-84,leave
886,1578566249497,-86,leave
887,1578566249602,-88,leave
888,1578566249700,-84,leave
889,1578566249806,-91,leave
890,1578566249910,-95,leave
891,1578566250019,-80,leave
892,1578566250242,-96,leave
893,1578566250456,-94,leave
894,1578566250542,-84,leave
895,1578566250651,-83,leave
896,1578566250887,-91,leave
897,1578566251065,-91,leave
898,1578566251174,-88,leave
899,1578566251280,-99,leave
900,1578566251387,-94,leave
901,1578566251493,-94,leave
902,1578566251611,-90,leave
903,1578566251714,-94,leave
904,1578566251945,-85,leave
905,1578566252029,-90,leave
906,1578566252139,-82,leave
907,1578566252361,-85,leave
908,1578566252442,-78,far
909,1578566252549,-86,far
910,1578566252650,-91,far
911,1578566252756,-92,far
912,1578566253004,-94,far
913,1578566253082,-89,far
914,1578566253193,-90,far
915,1578566253299,-93,far
916,1578566253402,-91,far
917,1578566253637,-93,far
918,1578566253818,-92,far
919,1578566253927,-92,far
920,1578566254023,-92,far
921,1578566254134,-82,far
922,1578566254236,-83,far
923,1578566254337,-84,far
924,1578566254578,-84,far
925,1578566254667,-78,far
926,1578566254769,-90,far
927,1578566254866,-86,far
928,1578566254975,-76,approach
929,1578566255082,-80,approach
930,1578566255182,-76,approach
931,1578566255288,-82,approach
932,1578566255404,-77,approach
933,1578566255504,-77,approach
934,1578566255606,-78,approach
935,1578566255706,-73,approach
936,1578566255805,-83,approach
937,1578566255917,-93,approach
938,1578566256022,-78,approach
939,1578566256137,-76,approach
940,1578566256247,-74,approach
941,1578566256347,-72,approach
942,1578566256455,-71,approach
943,1578566256560,-71,approach
944,1578566256664,-69,approach
945,1578566256767,-67,approach
946,1578566256877,-76,approach
947,1578566256977,-92,approach
948,1578566257083,-73,approach
949,1578566257189,-70,approach
950,1578566257287,-80,approach
951,1578566257394,-88,approach
952,1578566257501,-82,approach
953,1578566257601,-77,approach
954,1578566257838,-69,approach
955,1578566257922,-76,approach
956,1578566258023,-73,approach
957,1578566258133,-72,approach
958,1578566258240,-72,approach
959,1578566258346,-73,approach
960,1578566258455,-75,approach
961,1578566258556,-86,approach
962,1578566258663,-73,approach
963,1578566258766,-65,approach
964,1578566258875,-68,approach
965,1578566258977,-72,approach
966,1578566259076,-70,approach
967,1578566259180,-69,approach
968,1578566259283,-76,approach
969,1578566259386,-72,approach
970,1578566259490,-64,approach
971,1578566259607,-73,approach
972,1578566259711,-78,approach
973,1578566259817,-68,approach
974,1578566260062,-74,approach
975,1578566260123,-73,approach
976,1578566260239,-66,approach
977,1578566260338,-66,approach
978,1578566260441,-69,approach
979,1578566260551,-71,approach
980,1578566260661,-72,approach
981,1578566260770,-76,approach
982,1578566260874,-67,approach
983,1578566260979,-65,approach
984,1578566261071,-71,approach
985,1578566261176,-67,approach
986,1578566261279,-71,approach
987,1578566261382,-68,approach
988,1578566261491,-68,approach
989,1578566261597,-66,approach
990,1578566261705,-72,approach
991,1578566261817,-63,approach
992,1578566261924,-64,approach
993,1578566262028,-62,approach
994,1578566262139,-67,approach
995,1578566262241,-66,approach
996,1578566262341,-61,approach
997,1578566262445,-58,approach
998,1578566262547,-59,approach
999,1578566262657,-60,approach
1000,1578566262760,-65,approach
1001,1578566262867,-56,approach
1002,1578566262969,-65,approach
1003,1578566263071,-71,approach
1004,1578566263173,-60,approach
1005,1578566263278,-64,approach
1006,1578566263391,-63,approach
1007,1578566263497,-68,approach
1008,1578566263607,-63,approach
1009,1578566263709,-61,approach
1010,1578566263810,-63,approach
1011,1578566263910,-56,approach
1012,1578566264022,-57,approach
1013,1578566264123,-58,approach
1014,1578566264220,-60,approach
1015,1578566264323,-56,near
1016,1578566264425,-56,near
1017,1578566264531,-68,near
1018,1578566264637,-62,near
1019,1578566264757,-59,near
1020,1578566264863,-58,near
1021,1578566264964,-59,near
1022,1578566265074,-60,near
1023,1578566265176,-59,near
1024,1578566265283,-59,near
1025,1578566265389,-58,near
1026,1578566265487,-58,near
1027,1578566265587,-59,near
1028,1578566265689,-60,near
1029,1578566265798,-60,near
1030,1578566265901,-60,near
1031,1578566266009,-60,near
1032,1578566266117,-60,near
1033,1578566266456,-66,near
1034,1578566266536,-58,near
1035,1578566266627,-53,near
1036,1578566266737,-52,leave
1037,1578566266846,-63,leave
1038,1578566266947,-56,leave
1039,1578566267056,-59,leave
1040,1578566267159,-57,leave
1041,1578566267264,-64,leave
1042,1578566267500,-65,leave
1043,1578566267688,-69,leave
1044,1578566267803,-73,leave
1045,1578566267907,-76,leave
1046,1578566268010,-81,leave
1047,1578566268108,-71,leave
1048,1578566268220,-68,leave
1049,1578566268324,-74,leave
1050,1578566268420,-73,leave
1051,1578566268523,-71,leave
1052,1578566268629,-69,leave
1053,1578566268730,-77,leave
1054,1578566268837,-82,leave
1055,1578566268937,-77,leave
1056,1578566269040,-78,leave
1057,1578566269136,-72,leave
1058,1578566269241,-68,leave
1059,1578566269349,-71,leave
1060,1578566269450,-69,leave
1061,1578566269564,-73,leave
1062,1578566269673,-80,leave
1063,1578566269779,-76,leave
1064,1578566269883,-87,leave
1065,1578566269990,-91,leave
1066,1578566270094,-78,leave
1067,1578566270196,-79,leave
1068,1578566270292,-76,leave
1069,1578566270393,-83,leave
1070,1578566270501,-80,leave
1071,1578566270604,-82,leave
1072,1578566270714,-96,leave
1073,1578566270813,-99,leave
1074,1578566270920,-82,leave
1075,1578566271018,-79,leave
1076,1578566271124,-77,leave
1077,1578566271237,-83,leave
1078,1578566271342,-79,leave
1079,1578566271450,-84,leave
